time,temperature_C,humidity_pct,snowfall_cm,precip_mm,dewpoint_C,segment_id,CP,S_struct,SCE,admissible,depth_est_cm,depth_min_cm,depth_max_cm,corridor_score
2024-05-25 03:20:00+00:00,15.6,92.5704840680352,0.0,0.0,14.4,0,6.4191481995236215,21.776491517549758,3.488107802993643e-10,False,26.05283528486128,9.087509804723273e-09,52.105670560635055,9.087509804723273e-09
2024-05-25 03:52:00+00:00,16.7,93.22634026155556,0.0,1.3,15.6,0,6.4191481995236215,18.767647522041408,7.0682881007148255e-09,False,26.05283528486128,1.8414894563386835e-07,52.10567038557362,1.8414894563386835e-07
2024-05-25 04:26:00+00:00,18.3,87.00958282279439,0.0,1.0,16.1,0,6.4191481995236215,18.767647522041408,7.0682881007148255e-09,False,26.05283528486128,1.8414894563386835e-07,52.10567038557362,1.8414894563386835e-07
2024-05-25 04:52:00+00:00,18.9,87.06523858888788,0.0,0.3,16.7,0,6.4191481995236215,17.764714141827938,1.927004263862584e-08,False,26.05283528486128,5.020392467963727e-07,52.10567006768331,5.020392467963727e-07
2024-05-25 05:21:00+00:00,18.9,83.80338544157286,0.0,0.0,16.1,0,6.4191481995236215,15.115751500880148,2.7246613633920617e-07,False,26.05283528486128,7.098515370747895e-06,52.105663471207194,7.098515370747895e-06
2024-05-25 05:50:00+00:00,18.0,88.10014352736347,0.0,0.0,16.0,0,6.4191481995236215,14.181596254583848,6.934433729104655e-07,False,26.05283528486128,1.8066165973814997e-05,52.10565250355659,1.8066165973814997e-05
2024-05-25 05:52:00+00:00,18.3,84.27309677245182,0.0,0.0,15.6,0,6.4191481995236215,14.156144046200993,7.113195674250705e-07,False,26.05283528486128,1.853189152502414e-05,52.105652037831035,1.853189152502414e-05
2024-05-25 05:59:00+00:00,,,0.0,9.4,,0,6.4191481995236215,8.854456862290704,0.00014274412554974715,False,26.05283528486128,0.0037188891908291216,52.101951680531734,0.0037188891908291216
2024-05-25 06:00:00+00:00,18.3,84.27309677245182,0.0,8.0,15.6,0,6.4191481995236215,8.090292608428154,0.00030650005951000106,False,26.05283528486128,0.007985195565214239,52.09768537415735,0.007985195565214239
2024-05-25 06:52:00+00:00,15.6,89.6211121318115,0.0,0.0,13.9,0,6.4191481995236215,8.090292608428154,0.00030650005951000106,False,26.05283528486128,0.007985195565214239,52.09768537415735,0.007985195565214239
2024-05-25 07:52:00+00:00,17.2,86.90663525704132,0.0,0.0,15.0,0,6.4191481995236215,8.090292608428154,0.00030650005951000106,False,26.05283528486128,0.007985195565214239,52.09768537415735,0.007985195565214239
2024-05-25 08:52:00+00:00,15.0,77.51115072168365,0.0,0.0,11.1,0,7.29448659036775,8.965630999272282,0.00012772500555286118,False,27.50268336217015,0.003512780385151765,55.00185394395515,0.003512780385151765
2024-05-25 09:00:00+00:00,15.0,77.51115072168365,0.0,0.0,11.1,0,7.29448659036775,8.710841379974628,0.0001647895455043699,False,27.50268336217015,0.004532154691402615,55.000834569648895,0.004532154691402615
2024-05-25 09:52:00+00:00,13.9,77.34059823866517,0.0,0.0,10.0,0,7.778260418918318,7.922378929522391,0.00036253884545953217,False,28.2396173546883,0.010237958271987663,56.46899675110461,0.010237958271987663
2024-05-25 10:52:00+00:00,12.8,71.6238116516006,0.0,0.0,7.8,0,9.180897543641292,9.325016054245364,8.916552766348531e-05,False,30.16667126963959,0.0026898271616083162,60.33065271211757,0.0026898271616083162
2024-05-25 11:52:00+00:00,12.8,66.43412237728971,0.0,0.0,6.7,0,9.180897543641292,9.325016054245364,8.916552766348531e-05,False,30.16667126963959,0.0026898271616083162,60.33065271211757,0.0026898271616083162
